Date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum,covidOccupiedMVBeds,hospitalCases,newAdmissions,cumAdmissions,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
2020-03-09,53,181,0,0,0,0,5.9,2244,0,0,0,0,2,2
2020-03-10,92,273,0,0,0,0,7.8,2558,0,0,0,0,1,3
2020-03-11,183,456,0,0,0,0,10.7,3071,0,0,0,0,3,6
2020-03-12,165,621,0,0,0,0,12.4,3614,0,0,0,0,6,12
2020-03-13,135,756,0,0,0,0,13.9,4191,0,0,0,0,6,18
2020-03-14,150,906,0,0,0,0,15.5,4757,0,0,0,0,11,29
2020-03-15,165,1071,0,0,0,0,16.9,5151,0,0,0,0,8,37
2020-03-16,233,1304,0,0,0,0,19,5640,0,0,0,0,16,53
2020-03-17,311,1615,0,0,0,0,22.1,6058,0,0,0,0,23,76
2020-03-18,355,1970,0,0,0,0,24.8,6280,0,0,0,0,26,102
2020-03-19,330,2300,0,0,0,0,27.1,6317,0,0,240,240,25,127
2020-03-20,426,2726,0,0,0,0,30.7,6323,0,841,272,512,46,173
2020-03-21,350,3076,0,0,0,0,32.8,6427,0,1081,311,823,46,219
2020-03-22,438,3514,0,0,0,0,35.1,6684,0,1266,335,1158,53,272
2020-03-23,687,4201,0,0,0,0,38.4,7164,0,1559,505,1663,56,328
2020-03-24,632,4833,0,0,0,0,40.7,7623,0,1705,637,2300,87,415
2020-03-25,759,5592,0,0,0,0,43.4,8009,0,2051,675,2975,119,534
2020-03-26,764,6356,0,0,0,0,46.3,8513,0,2244,519,3494,122,656
2020-03-27,817,7173,0,0,0,0,47.5,9221,0,2829,639,4133,127,783
2020-03-28,576,7749,0,0,0,0,48.4,9532,0,3114,551,4684,119,902
2020-03-29,594,8343,0,0,0,0,49.4,9757,0,3464,672,5356,143,1045
2020-03-30,868,9211,0,0,0,0,49.8,10196,0,3638,883,6239,150,1195
2020-03-31,935,10146,0,0,0,0,50.6,10672,0,4073,645,6884,180,1375
2020-04-01,979,11125,0,0,0,0,50.7,11256,0,4219,767,7651,189,1564
2020-04-02,1067,12192,0,0,0,0,51.1,11711,673,4168,835,8486,194,1758
2020-04-03,982,13174,0,0,0,0,51,12067,759,4092,647,9133,192,1950
2020-04-04,765,13939,0,0,0,0,50.4,12565,824,4691,733,9866,225,2175
2020-04-05,632,14571,0,0,0,0,49.8,12793,800,4869,732,10598,196,2371
2020-04-06,857,15428,0,0,0,0,49.3,12830,914,5058,743,11341,197,2568
2020-04-07,951,16379,0,0,0,0,49.2,12771,876,5025,722,12063,221,2789
2020-04-08,875,17254,0,0,0,0,47.5,13102,941,5198,744,12807,232,3021
2020-04-09,801,18055,0,0,0,0,45.9,13016,849,5201,554,13361,199,3220
2020-04-10,616,18671,0,0,0,0,44.7,12654,1057,5168,531,13892,174,3394
2020-04-11,519,19190,0,0,0,0,43.7,12242,1035,4910,490,14382,164,3558
2020-04-12,500,19690,0,0,0,0,42.4,12255,1035,4931,384,14766,170,3728
2020-04-13,596,20286,0,0,0,0,41,11905,1046,4799,416,15182,170,3898
2020-04-14,596,20882,0,0,0,0,39.6,11318,1026,4621,447,15629,143,4041
2020-04-15,660,21542,0,0,0,0,37.3,11445,1023,4509,412,16041,147,4188
2020-04-16,575,22117,0,0,0,0,34.6,11530,1012,4395,388,16429,138,4326
2020-04-17,579,22696,0,0,0,0,32.3,12161,982,4219,358,16787,110,4436
