Date;Close
Jan 03, 2000;1455.22
Jan 04, 2000;1399.42
Jan 05, 2000;1402.11
Jan 06, 2000;1403.45
Jan 07, 2000;1441.47
Jan 10, 2000;1457.6
Jan 11, 2000;1438.56
Jan 12, 2000;1432.25
Jan 13, 2000;1449.68
Jan 14, 2000;1465.15
Jan 18, 2000;1455.14
Jan 19, 2000;1455.9
Jan 20, 2000;1445.57
Jan 21, 2000;1441.36
Jan 24, 2000;1401.53
Jan 25, 2000;1410.03
Jan 26, 2000;1404.09
Jan 27, 2000;1398.56
Jan 28, 2000;1360.16
Jan 31, 2000;1394.46
Feb 01, 2000;1409.28
Feb 02, 2000;1409.12
Feb 03, 2000;1424.97
Feb 04, 2000;1424.37
Feb 07, 2000;1424.24
Feb 08, 2000;1441.72
Feb 09, 2000;1411.71
Feb 10, 2000;1416.83
Feb 11, 2000;1387.12
Feb 14, 2000;1389.94
Feb 15, 2000;1402.05
Feb 16, 2000;1387.67
Feb 17, 2000;1388.26
Feb 18, 2000;1346.09
Feb 22, 2000;1352.17
Feb 23, 2000;1360.69
Feb 24, 2000;1353.43
Feb 25, 2000;1333.36
Feb 28, 2000;1348.05
Feb 29, 2000;1366.42
Mar 01, 2000;1379.19
Mar 02, 2000;1381.76
Mar 03, 2000;1409.17
Mar 06, 2000;1391.28
Mar 07, 2000;1355.62
Mar 08, 2000;1366.7
Mar 09, 2000;1401.69
Mar 10, 2000;1395.07
Mar 13, 2000;1383.62
Mar 14, 2000;1359.15
Mar 15, 2000;1392.14
Mar 16, 2000;1458.47
Mar 17, 2000;1464.47
Mar 20, 2000;1456.63
Mar 21, 2000;1493.87
Mar 22, 2000;1500.64
Mar 23, 2000;1527.35
Mar 24, 2000;1527.46
Mar 27, 2000;1523.86
Mar 28, 2000;1507.73
Mar 29, 2000;1508.52
Mar 30, 2000;1487.92
Mar 31, 2000;1498.58
Apr 03, 2000;1505.97
Apr 04, 2000;1494.73
Apr 05, 2000;1487.37
Apr 06, 2000;1501.34
Apr 07, 2000;1516.35
Apr 10, 2000;1504.46
Apr 11, 2000;1500.59
Apr 12, 2000;1467.17
Apr 13, 2000;1440.51
Apr 14, 2000;1356.56
Apr 17, 2000;1401.44
Apr 18, 2000;1441.61
Apr 19, 2000;1427.47
Apr 20, 2000;1434.54
Apr 24, 2000;1429.86
Apr 25, 2000;1477.44
Apr 26, 2000;1460.99
Apr 27, 2000;1464.92
Apr 28, 2000;1452.43
May 01, 2000;1468.25
May 02, 2000;1446.29
May 03, 2000;1415.1
May 04, 2000;1409.57
May 05, 2000;1432.63
May 08, 2000;1424.17
May 09, 2000;1412.14
May 10, 2000;1383.05
May 11, 2000;1407.81
May 12, 2000;1420.96
May 15, 2000;1452.36
May 16, 2000;1466.04
May 17, 2000;1447.8
May 18, 2000;1437.21
May 19, 2000;1406.95
May 22, 2000;1400.72
May 23, 2000;1373.86
May 24, 2000;1399.05
May 25, 2000;1381.52
May 26, 2000;1378.02
May 30, 2000;1422.45
May 31, 2000;1420.6
Jun 01, 2000;1448.81
Jun 02, 2000;1477.26
Jun 05, 2000;1467.63
Jun 06, 2000;1457.84
Jun 07, 2000;1471.36
Jun 08, 2000;1461.67
Jun 09, 2000;1456.95
